neighborhood,dominant_topic_label,distinctiveness,review_count,lat,lon,top_keywords,borough
Allerton,Truly Enjoyable Experience,1.979574943076457,283,40.86728752629203,-73.85278,"very, place, stay, would, great",Bronx
Arden Heights,Feels Like Home,4.099294465106103,12,40.548724238082734,-74.17240497933464,"very, were, that, stay, great",Staten Island
Arrochar,Clean & Comfortable Stay,1.3704038908086955,103,40.59139,-74.07033,"very, place, great, stay, with",Staten Island
Arverne,Feels Like Home,1.7707535486419452,463,40.59434,-73.79492,"very, great, place, with, stay",Queens
Astoria,French-Speaking Visitors,1.3430342924395826,2457,40.76383,-73.92225,"very, great, place, stay, with",Queens
Bath Beach,Truly Enjoyable Experience,1.4946438995384457,217,40.60798,-74.00808,"very, place, great, stay, this",Brooklyn
Battery Park City,NYC City Experience,3.022847348255697,15,40.70576731654244,-74.01652,"stay, this, very, location, view",Manhattan
Bay Ridge,Feels Like Home,1.703088521734903,414,40.62924,-74.02375,"very, great, place, stay, with",Brooklyn
Bay Terrace,Feels Like Home,2.732862976737402,18,40.78483712194236,-73.79464163552773,"very, place, stay, great, that",Queens
"Bay Terrace, Staten Island",Great Location & Transit,5.940516763097408,1,40.56323040118686,-74.14484205446071,"great, kaitia, host!, very, communicative",Staten Island
Baychester,Feels Like Home,4.874836661207259,37,40.87185,-73.84074,"very, place, stay, this, with",Bronx
Bayside,Feels Like Home,1.6571615922769354,188,40.7623,-73.771629742874,"very, great, place, with, stay",Queens
Bayswater,Nice & Pleasant Place,1.6896659059695074,88,40.61092,-73.76799,"very, place, stay, host, clean",Queens
Bedford-Stuyvesant,German-Speaking Visitors,1.47279465506948,13961,40.68522,-73.93845,"very, great, place, stay, with",Brooklyn
Belle Harbor,Nice & Pleasant Place,2.2528878746260097,66,40.58116,-73.85075,"very, great, place, stay, this",Queens
Bellerose,Nice & Pleasant Place,2.492840429319904,78,40.72945,-73.72434,"place, very, great, with, this",Queens
Belmont,German-Speaking Visitors,3.5083412127056053,74,40.85476,-73.88953,"very, stay, place, great, with",Bronx
Bensonhurst,Clean & Comfortable Stay,1.5979426500373095,212,40.6119595,-73.99929,"very, place, great, stay, with",Brooklyn
Bergen Beach,Feels Like Home,2.9280674750757885,84,40.62806,-73.91445,"very, place, great, stay, definitely",Brooklyn
Boerum Hill,Feels Like Home,1.3808149777199503,665,40.6868,-73.985789,"very, great, stay, with, place",Brooklyn
Borough Park,German-Speaking Visitors,1.665993046461271,187,40.64215,-73.995083,"very, place, great, with, stay",Brooklyn
Breezy Point,Great Location & Transit,1.425724023143378,25,40.56748,-73.86909,"very, great, stay, room, location",Queens
Briarwood,Spanish-Speaking Visitors,1.825910602412574,163,40.70799,-73.81449830467113,"very, place, great, stay, with",Queens
Brighton Beach,Clean & Comfortable Stay,1.2893655838041431,208,40.58237,-73.95973,"very, great, place, with, stay",Brooklyn
Bronxdale,Truly Enjoyable Experience,1.7344263433146667,34,40.85603,-73.86517,"very, place, with, great, this",Bronx
Brooklyn Heights,Great Location & Transit,1.2141202143556746,137,40.69223,-73.99338,"great, very, with, apartment, place",Brooklyn
Brownsville,Truly Enjoyable Experience,1.514107321326047,740,40.661434173583984,-73.91309,"very, place, great, with, stay",Brooklyn
Bull's Head,Feels Like Home,2.1157648852160533,62,40.60797084098607,-74.1577879445174,"very, place, great, stay, were",Staten Island
Bushwick,Feels Like Home,1.1385577505457902,5055,40.6949838,-73.91823412487773,"very, great, place, stay, with",Brooklyn
Cambria Heights,Feels Like Home,2.409959858448545,347,40.697,-73.733054,"very, place, stay, with, would",Queens
Canarsie,Feels Like Home,2.317159876050586,2130,40.6399295,-73.9006,"very, place, stay, great, with",Brooklyn
Carroll Gardens,Feels Like Home,1.3847482643521958,746,40.67999,-73.99871,"very, great, with, stay, place",Brooklyn
Castle Hill,Feels Like Home,2.186290381389922,75,40.81675,-73.84908087510664,"very, place, stay, clean, great",Bronx
Castleton Corners,Truly Enjoyable Experience,2.6804770760317576,22,40.62557,-74.13079,"very, great, place, with, this",Staten Island
Chelsea,Spanish-Speaking Visitors,1.417583707704836,4304,40.749081072635285,-73.99545,"very, great, place, stay, with",Manhattan
"Chelsea, Staten Island",Nice & Pleasant Place,11.437738440408973,1,40.59598,-74.18478,"zina, best, host, ever, always",Staten Island
Chinatown,Spanish-Speaking Visitors,1.2855029986156363,2103,40.71759,-73.99723827838898,"great, very, stay, with, place",Manhattan
City Island,Feels Like Home,3.208143494430864,92,40.84637,-73.78857,"very, great, place, with, this",Bronx
Civic Center,NYC City Experience,2.000413686345682,34,40.71619419757378,-74.00103820167718,"great, very, stay, place, with",Manhattan
Claremont Village,French-Speaking Visitors,2.729392271732055,195,40.83642,-73.90987,"very, place, stay, great, with",Bronx
