source,target,weight
Allerton,Cambria Heights,0.9999
Allerton,Parkchester,0.9999
Allerton,Fort Hamilton,0.9999
Arden Heights,Howland Hook,1.0
Arden Heights,Fieldston,1.0
Arden Heights,Todt Hill,1.0
Arrochar,Grymes Hill,0.9998
Arrochar,Woodlawn,0.9998
Arrochar,Windsor Terrace,0.9998
Arverne,St. Albans,1.0
Arverne,West Village,0.9999
Arverne,Canarsie,0.9999
Astoria,Chinatown,0.9999
Astoria,Brownsville,0.9999
Astoria,Ditmars Steinway,0.9998
Bath Beach,Fort Hamilton,0.9999
Bath Beach,Forest Hills,0.9999
Bath Beach,Brooklyn Heights,0.9998
Battery Park City,Little Neck,0.995
Battery Park City,Coney Island,0.9941
Battery Park City,South Ozone Park,0.9936
Bay Ridge,Flatiron District,0.9998
Bay Ridge,Allerton,0.9998
Bay Ridge,St. Albans,0.9998
Bay Terrace,Howland Hook,1.0
Bay Terrace,Fieldston,1.0
Bay Terrace,Todt Hill,1.0
"Bay Terrace, Staten Island",Howland Hook,1.0
"Bay Terrace, Staten Island",Fieldston,1.0
"Bay Terrace, Staten Island",Todt Hill,1.0
Baychester,Gowanus,0.9999
Baychester,East Village,0.9998
Baychester,Bull's Head,0.9998
Bayside,Whitestone,1.0
Bayside,Dongan Hills,0.9999
Bayside,North Riverdale,0.9999
Bayswater,Kips Bay,0.9998
Bayswater,Chinatown,0.9997
Bayswater,Brownsville,0.9997
Bedford-Stuyvesant,Flatbush,0.9999
Bedford-Stuyvesant,Crown Heights,0.9999
Bedford-Stuyvesant,East Flatbush,0.9999
Belle Harbor,City Island,1.0
Belle Harbor,Rockaway Beach,0.9999
Belle Harbor,Greenwich Village,0.9999
Bellerose,Fresh Meadows,0.9999
Bellerose,Wakefield,0.9999
Bellerose,Parkchester,0.9999
Belmont,Midland Beach,0.9987
Belmont,Borough Park,0.9984
Belmont,Sunnyside,0.998
Bensonhurst,Cypress Hills,0.9997
Bensonhurst,Corona,0.9997
Bensonhurst,Kips Bay,0.9996
Bergen Beach,Howland Hook,1.0
Bergen Beach,Fieldston,1.0
Bergen Beach,Todt Hill,1.0
Boerum Hill,Cobble Hill,0.9999
Boerum Hill,Carroll Gardens,0.9999
