neighborhood,x,y,dominant_topic_label,review_count,borough,viz_size,community,comm_color,is_hero
Allerton,-0.043774898731805165,0.09211129986892508,Truly Enjoyable Experience,283,Bronx,19.77140983356422,3,#a855f7,False
Arden Heights,-0.15159507622459456,0.03404367358253291,Feels Like Home,12,Staten Island,8.977322751115379,0,#00d4ff,False
Arrochar,-0.09148267301271717,-0.10216062533987295,Clean & Comfortable Stay,103,Staten Island,16.255368146994805,6,#40e0d0,False
Arverne,-0.09233392606276339,-0.04097672504924847,Feels Like Home,463,Queens,21.489595932791893,0,#00d4ff,False
Astoria,0.13920695208703135,-0.005055259860474742,French-Speaking Visitors,2457,Queens,27.32486151544093,7,#f59e0b,False
Bath Beach,-0.04858594897575844,0.008072688269469348,Truly Enjoyable Experience,217,Brooklyn,18.845732719761813,3,#a855f7,False
Battery Park City,-0.08880115672151724,0.04791753353857674,NYC City Experience,15,Manhattan,9.704060527839234,8,#84cc16,False
Bay Ridge,-0.038918717312328426,0.0736553224515279,Feels Like Home,414,Brooklyn,21.09897482080744,0,#00d4ff,False
Bay Terrace,-0.17956301979793166,0.012882460171846008,Feels Like Home,18,Queens,10.30553642708254,0,#00d4ff,False
"Bay Terrace, Staten Island",-0.1710064145137047,0.05279836661267424,Great Location & Transit,1,Staten Island,8.0,5,#ff6030,False
Baychester,-0.05847735048277414,-0.01802492666253732,Feels Like Home,37,Bronx,12.73155155904235,0,#00d4ff,False
Bayside,-0.1300844496082906,0.06610356890126762,Feels Like Home,188,Queens,18.346114552708748,0,#00d4ff,False
Bayswater,0.12505588782194904,0.024877669254454508,Nice & Pleasant Place,88,Queens,15.710227294062488,2,#ffaa00,False
Bedford-Stuyvesant,0.0220372148971943,-0.12713994252801622,German-Speaking Visitors,13961,Brooklyn,53.44692994216995,4,#22ff88,True
Belle Harbor,-0.17849761766444353,-0.036488526207413385,Nice & Pleasant Place,66,Queens,14.71642416786838,2,#ffaa00,False
Bellerose,-0.053700337633550824,0.13469588080565242,Nice & Pleasant Place,78,Queens,15.293067483634575,2,#ffaa00,False
Belmont,0.06646008878534002,0.019768606785747187,German-Speaking Visitors,74,Bronx,15.111208397377085,4,#22ff88,False
Bensonhurst,0.17950833081646272,0.06112592324831172,Clean & Comfortable Stay,212,Brooklyn,18.764522579982987,6,#40e0d0,False
Bergen Beach,-0.1930966192460191,-0.016620080486978522,Feels Like Home,84,Brooklyn,24.878847036345775,0,#00d4ff,True
Boerum Hill,-0.04709446722527828,-0.09084063575896066,Feels Like Home,665,Brooklyn,22.754513846891363,0,#00d4ff,False
Borough Park,0.0733349554550934,0.02138920902581213,German-Speaking Visitors,187,Brooklyn,18.327546869904822,4,#22ff88,False
Breezy Point,-0.216492711885225,0.05667132894673831,Great Location & Transit,25,Queens,11.403337883075187,5,#ff6030,False
Briarwood,0.06032296431374803,0.3301150713316069,Spanish-Speaking Visitors,163,Queens,17.849532497384697,1,#ff3fa4,False
Brighton Beach,-0.11658369560489121,0.08995607956799931,Clean & Comfortable Stay,208,Brooklyn,18.698169881876836,6,#40e0d0,False
Bronxdale,0.03278060533248463,-0.10701344455310831,Truly Enjoyable Experience,34,Bronx,12.443718215212947,3,#a855f7,False
Brooklyn Heights,0.01323596189664039,-0.04628485492663903,Great Location & Transit,137,Brooklyn,17.245387898050218,5,#ff6030,False
Brownsville,0.10318787669549553,0.050116757441406215,Truly Enjoyable Experience,740,Brooklyn,23.128002188536303,3,#a855f7,False
Bull's Head,-0.06466750939630607,-0.05472303544983036,Feels Like Home,62,Staten Island,14.500971542370364,0,#00d4ff,False
Bushwick,0.02103839802856338,-0.0379392193068274,Feels Like Home,5055,Brooklyn,47.758653240629485,0,#00d4ff,True
Cambria Heights,-0.10082709508728901,0.13570006048015765,Feels Like Home,347,Queens,20.48270867921066,0,#00d4ff,False
